Date,Time,Value date,Product,ISIN,Description,FX,Change,,Balance,,Order Id
04-01-2026,23:10,02-01-2026,,,Flatex Interest Income,,EUR,0.00,EUR,93.75,
16-12-2025,10:30,16-12-2025,,,Degiro Cash Sweep Transfer,,EUR,3903.15,EUR,93.75,
16-12-2025,10:30,16-12-2025,,,"Transfer from your Cash Account at flatexDEGIRO Bank SE: 3,903.15 EUR",,,,EUR,-3809.40,
16-12-2025,09:44,16-12-2025,ALPHABET INC CLASS A,US02079K3059,DEGIRO Transaction and/or third party fees,,EUR,-3.90,EUR,93.75,ac-007
16-12-2025,09:44,16-12-2025,ALPHABET INC CLASS A,US02079K3059,Buy 15 Alphabet Inc Class A@259.95 EUR (US02079K3059),,EUR,-3899.25,EUR,97.65,ac-007
05-12-2025,12:20,05-12-2025,,,"Transfer from your Cash Account at flatexDEGIRO Bank SE: 2,003.1 EUR",,,,EUR,3996.90,
05-12-2025,12:20,05-12-2025,,,Degiro Cash Sweep Transfer,,EUR,2003.10,EUR,6000.00,
05-12-2025,10:38,05-12-2025,STST SPDR S&P US TECHNOLOGY SEL SCTR,IE00BWBXM948,DEGIRO Transaction and/or third party fees,,EUR,-3.00,EUR,3996.90,ac-008
05-12-2025,10:38,05-12-2025,STST SPDR S&P US TECHNOLOGY SEL SCTR,IE00BWBXM948,Buy 15 StSt SPDR S&P US Technology Sel Sctr UCITS ETF Acc@133.34 EUR (IE00BWBXM948),,EUR,-2000.10,EUR,3999.90,ac-008
04-12-2025,14:40,04-12-2025,,,flatex Deposit,,EUR,6000.00,EUR,6000.00,
